Country,Local Purchasing Power Index,Restaurant Price Index,Groceries Index,Cost of Living Plus Rent Index,Rent Index,Cost of Living Index,Overall rank,Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Cost of Happiness,Year,Europe Rank
Finland,121.64833333333333,85.70833333333333,62.79833333333334,53.35333333333333,28.02,75.89833333333333,5,7.413,1.4059800000000002,0.8109100000000001,0.57104,0.25492,0.41004,1.3981102022564866,2016,5
Netherlands,117.45666666666664,82.87444444444445,58.24,55.04,33.7,74.03222222222222,7,7.339,1.46468,0.81231,0.55211,0.4741600000000001,0.29927,1.2868208011643476,2016,6
Sweden,122.1275,79.8675,68.9925,54.6775,30.0125,76.6225,10,7.291,1.45181,0.83121,0.58218,0.38254,0.40867,1.329192414021943,2016,7
Austria,113.17333333333332,70.20333333333333,61.63333333333333,50.27,27.313333333333333,70.69666666666667,12,7.119,1.45038,0.80565,0.54355,0.32865,0.21348,1.0226435514937655,2016,8
Germany,132.68,66.41235294117647,54.52823529411765,49.915882352941175,27.95294117647059,69.46117647058823,16,6.994,1.44787,0.81487,0.53466,0.30452,0.28551,0.8924274903066645,2016,9
Belgium,97.735,84.975,72.52000000000001,55.370000000000005,28.3025,79.455,18,6.929,1.42539,0.81959,0.51354,0.2424,0.26248,1.145307636572272,2016,10
Ireland,120.3075,80.36,68.1275,58.485,34.655,79.6925,19,6.907,1.48341,0.81455,0.54008,0.44963,0.29754,1.13610233494303,2016,11
Luxembourg,148.47,100.81,61.68,67.09,51.47,80.99,20,6.871,1.69752,0.84542,0.5487,0.27571,0.35329,1.1484335514896638,2016,12
United Kingdom,109.1496875,77.329375,59.741875,52.8628125,31.99375,71.4334375,23,6.725,1.40283,0.80991,0.50036,0.50156,0.27399,0.7517885094106637,2016,13
Czech Republic,82.015,29.37,35.81,28.5025,14.0625,41.3575,27,6.596,1.30915,0.76376,0.41418,0.09929,0.03986,-0.2506947380375395,2016,14
Malta,75.11,81.58,58.42,49.86,28.99,68.43,30,6.488,1.30782,0.80315,0.54994,0.56237,0.17554,0.4849769457954387,2016,15
France,111.609,74.674,68.937,52.258,26.069,75.564,32,6.478,1.39488,0.83795,0.46562,0.1216,0.17808,0.6925676800915953,2016,16
Spain,92.41111111111113,56.352222222222224,48.14555555555555,41.083333333333336,21.155555555555555,58.81222222222222,37,6.361,1.34253,0.87896,0.37545,0.17665,0.06137,0.100619237299776,2016,17
Slovakia,67.57,34.555,42.835,33.77,17.805,47.97,45,6.078,1.27973,0.70367,0.23391,0.13837,0.02947,-0.4366798036643706,2016,18
Italy,80.41793103448275,77.94655172413792,67.06758620689655,51.57896551724138,22.199310344827584,77.72206896551724,50,5.977,1.35495,0.85102,0.18827,0.16684,0.02556,0.3849645760174557,2016,19
Moldova,30.14,19.5,21.15,18.16,8.04,27.16,55,5.897,0.69177,0.52309,0.25202,0.19997,0.01903,-1.198552850606803,2016,20
Poland,72.55,32.25545454545455,30.08272727272728,26.92,13.666363636363638,38.71545454545455,57,5.835,1.24585,0.69058,0.4519,0.14443,0.055,-0.8963714942071039,2016,21
Lithuania,55.73,41.065,36.31,31.15,12.815,47.46,60,5.813,1.2692,0.64674,0.18929,0.02025,0.0182,-0.6491623957080899,2016,22
Belarus,39.74,37.85,27.39,24.12,13.09,33.93,61,5.802,1.13062,0.63104,0.29091,0.13942,0.17457,-1.0651577048140293,2016,23
Slovenia,84.16,43.335,43.675,34.79,14.329999999999998,52.995,63,5.768,1.29947,0.79151,0.53164,0.25738,0.03635,-0.5158012446299841,2016,24
Latvia,56.92,45.09,36.19,32.47,13.26,49.57,68,5.56,1.21788,0.63952,0.27996,0.17445,0.0889,-0.77374871943757,2016,25
Romania,53.38,28.724,29.338,23.219,8.787,36.063,71,5.528,1.1697,0.67602,0.36712,0.12889,0.00679,-1.2046708509164767,2016,26
Estonia,74.66,51.3,38.075,33.885000000000005,14.65,51.005,72,5.517,1.27964,0.68098,0.41511,0.08423,0.18519,-0.7624797497745596,2016,27
Croatia,59.538,40.87,42.024,31.732,10.498,50.626,74,5.488,1.18649,0.70524,0.2390699999999999,0.18434,0.04002,-0.7954739263194168,2016,28
Serbia,45.29666666666666,28.58666666666667,24.903333333333336,21.30666666666667,7.169999999999999,33.88333333333333,86,5.177,1.03437,0.6458,0.15718,0.2073699999999999,0.04339,-1.5314474873511086,2016,29
Montenegro,52.54,36.28,30.82,27.2,12.56,40.22,88,5.161,1.07838,0.63533,0.15111,0.17191,0.12721,-1.3523523876925287,2016,30
Hungary,49.225,32.42,34.665,28.68,12.41,43.16,91,5.145,1.24142,0.67608,0.1977,0.099,0.04472,-1.2756376327050365,2016,31
Portugal,71.5025,40.0975,38.25,33.34,16.0025,48.7725,94,5.123,1.27607,0.79363,0.44727,0.11691,0.01521,-1.1228328207109903,2016,32
Greece,78.53,56.85999999999999,44.055,33.54,9.71,54.748333333333335,99,5.033,1.24886,0.80029,0.05822,0.0,0.04127,-1.0096559177143374,2016,33
Albania,37.61,30.95,26.61,22.86,9.6,34.66,109,4.655,0.9553,0.73007,0.31866,0.1684,0.05301,-1.8963080884046504,2016,34
Ukraine,29.706666666666667,20.495,19.906666666666663,17.991666666666667,8.59,26.35833333333333,123,4.324,0.8728700000000001,0.58628,0.12859,0.20363,0.01829,-2.3927342147199147,2016,35
Bulgaria,51.3,30.206666666666667,31.2,23.78,8.786666666666667,37.12,129,4.217,1.11306,0.67806,0.21219,0.12793,0.00615,-2.1479503385612,2016,36
